,WEIGHT,PRED_WEIGHT,LBS_LOST_DAY,LB_DAY_AVG,PCT_NLBM_LOST,BFP_DAY_AVG,LBS_LOST_WEEK,AVG_PER_WEEK,DAY_NO,HYDRATION_LEVEL,SALT_INTAKE,CALORIE_INTAKE,MEAL_FREQUENCY,EAT_AFTER_8,EAT_AFTER_11,HRS_OF_SLEEP,WAKING_HUNGER,BMI,NON_LEAN_MASS,BMR (C5),PORTION_SIZE
WEIGHT,1.0,0.996277534372111,0.06119948056064688,0.3677556053736328,-0.016777366201325687,0.2782493283408933,0.0781823570602548,0.11061377212951624,0.03173815861807013,0.0018110143464638892,-0.04701245722273438,0.3003904741379741,-0.0886030813766469,-0.15809150921725942,-0.26939792730892326,-0.1163098555780904,-0.26296120390999594,1.0000000000000004,0.9994249379549325,0.9999948199176645,0.39222662983367074
PRED_WEIGHT,0.996277534372111,1.0,0.032564216038547686,0.37295607827853167,-0.044671936836154634,0.2702146086408071,0.1275661652829945,0.1701553779303109,0.024481436338627618,-0.009267005135558804,-0.04417343366880425,0.3032134123711656,-0.09239558774024842,-0.15969849575260042,-0.27299792385004873,-0.11884973000601444,-0.2659032096494738,0.9962775343788104,0.9938911632504268,0.9962876712799118,0.39644730668706807
LBS_LOST_DAY,0.06119948056064688,0.032564216038547686,1.0,-0.09470962391509974,0.9878828297855736,0.21363678698544686,-0.2119992807913675,-0.12844636844479088,0.13443735850709002,0.008918743411539767,-0.5141127918075171,-0.39047111603605167,-0.15333372760698663,0.11429590419275175,-0.02173719737077136,0.06746301717480711,0.23977025367219612,0.061199480563097014,0.06302469985411586,0.06140573703272292,-0.32750297119797445
LB_DAY_AVG,0.3677556053736328,0.37295607827853167,-0.09470962391509974,1.0,-0.09832956336318019,0.2913816122025441,0.5370415410555907,0.6162202302456748,0.05996758267936772,-0.10056462674608023,-0.08877135252316841,0.20969373817950474,-0.14859350907915855,-0.2460437542651114,-0.2535437765372899,-0.09477429570636915,-0.24600966418936754,0.3677556052986311,0.37361615111707,0.36747713950546257,0.3121349176104427
PCT_NLBM_LOST,-0.016777366201325687,-0.044671936836154634,0.9878828297855736,-0.09832956336318019,1.0,0.15100889148998747,-0.22089292692228216,-0.11813162978198581,0.13248620304491654,0.01693658862685629,-0.5204645131196873,-0.4209719891732808,-0.15206979472216445,0.10057649038297964,-0.0117330373709512,0.08653128030195656,0.2762304585062915,-0.016777366215738252,-0.014984105244254444,-0.016607446264552805,-0.3640719119542022
BFP_DAY_AVG,0.2782493283408933,0.2702146086408071,0.21363678698544686,0.2913816122025441,0.15100889148998747,1.0,0.5714159885646622,0.5729691568182756,0.03150247048432433,-0.20830057911601918,-0.44190743498973944,-0.2769686136380863,-0.2523887003178936,-0.04292575382267458,-0.0768168443515007,-0.031919900242363825,0.05283851941217183,0.2782493284308014,0.28799893045294567,0.27818134806814604,-0.16850154653515542
LBS_LOST_WEEK,0.0781823570602548,0.1275661652829945,-0.2119992807913675,0.5370415410555907,-0.22089292692228216,0.5714159885646622,1.0,0.21368659614423288,-0.0032564970244865865,-0.05515468757409173,-0.011786354821402643,-0.08362899939268632,-0.0027024208559665768,-0.010217494880139915,-0.025619408094239127,0.018408687570676666,-0.07234770727841601,0.07818235703027263,0.07979632500835675,0.07818935960290357,-0.09535351868975235
AVG_PER_WEEK,0.11061377212951624,0.1701553779303109,-0.12844636844479088,0.6162202302456748,-0.11813162978198581,0.5729691568182756,0.21368659614423288,1.0,0.0016364526165057321,-0.146127705047104,-0.08416061750816692,0.2647177836647424,-0.13810765585831067,-0.22072907541247574,-0.21131892300732066,-0.12733235285583583,-0.23911016673425597,0.11061377210184498,0.09524932446731312,0.11054223569893304,0.3729068304450135
DAY_NO,0.03173815861807013,0.024481436338627618,0.13443735850709002,0.05996758267936772,0.13248620304491654,0.03150247048432433,-0.0032564970244865865,0.0016364526165057321,1.0,-0.2508436444996624,-0.13384782486396338,-0.006439055347259596,0.025157546623690998,-0.0013538345875018978,0.20328045369688777,0.1803917726828851,0.019420294978343595,0.03173815866323072,0.03153899565746962,0.03128617136715357,-0.028636684309169474
HYDRATION_LEVEL,0.0018110143464638892,-0.009267005135558804,0.008918743411539767,-0.10056462674608023,0.01693658862685629,-0.20830057911601918,-0.05515468757409173,-0.146127705047104,-0.2508436444996624,1.0,-0.030714825384777076,-0.04418913611893198,0.18192659621377724,0.1752812330648742,-0.04724264218278862,0.15591027139501504,-0.07736459845724926,0.0018110144134152052,0.00047549648302976663,0.0020515492355960845,-0.11829706513990401
